filepath,caption_suggested,tags_suggested
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5183.jpg,NUI-5183,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5194.jpg,NUI-5194,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5195.jpg,NUI-5195,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5199.jpg,NUI-5199,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5203.jpg,NUI-5203,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5208.jpg,NUI-5208,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5210.jpg,NUI-5210,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5211.jpg,NUI-5211,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5212.jpg,NUI-5212,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5215.jpg,NUI-5215,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5217.jpg,NUI-5217,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5219.jpg,NUI-5219,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5221.jpg,NUI-5221,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5233.jpg,NUI-5233,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5235.jpg,NUI-5235,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5237.jpg,NUI-5237,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5240.jpg,NUI-5240,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5242.jpg,NUI-5242,morning
